,age,job,marital,education,default,balance,housing,loan,contact,campaign,y,season,day_binned
1577,40,admin.,married,secondary,no,523,yes,yes,unknown,3,0,spring,1
1578,41,blue-collar,married,primary,no,-52,yes,no,unknown,5,0,spring,1
1579,56,technician,divorced,secondary,no,397,yes,no,unknown,7,0,spring,1
1580,39,blue-collar,married,primary,no,-432,yes,no,unknown,3,0,spring,1
1581,34,blue-collar,married,primary,no,298,yes,no,unknown,2,0,spring,1
1582,41,blue-collar,single,secondary,no,1080,yes,yes,unknown,4,0,spring,1
1583,39,management,single,tertiary,no,-85,yes,no,unknown,2,0,spring,1
1584,33,admin.,married,secondary,no,4012,no,yes,unknown,4,0,spring,1
1585,52,management,divorced,secondary,no,123,no,no,unknown,2,0,spring,1
1586,26,management,single,tertiary,no,498,yes,no,unknown,3,0,spring,1
1587,54,unemployed,married,secondary,no,23,yes,no,unknown,3,0,spring,1
1588,30,technician,married,unknown,yes,-315,yes,no,unknown,2,0,spring,1
1589,35,management,married,tertiary,yes,89,no,yes,unknown,3,0,spring,1
1590,47,technician,divorced,secondary,no,699,yes,no,unknown,1,0,spring,1
1591,53,blue-collar,divorced,secondary,no,145,yes,no,unknown,1,0,spring,1
1592,29,blue-collar,single,secondary,no,-138,yes,yes,unknown,5,0,spring,1
1593,36,technician,married,tertiary,no,491,yes,no,unknown,3,0,spring,1
1594,35,management,married,tertiary,no,820,yes,no,unknown,4,0,spring,1
1595,43,blue-collar,married,secondary,no,1376,yes,no,unknown,4,0,spring,1
1596,38,blue-collar,married,primary,no,0,yes,no,unknown,2,0,spring,1
1597,39,blue-collar,married,secondary,no,507,yes,no,unknown,2,0,spring,1
1598,58,management,married,secondary,no,771,no,no,unknown,3,0,spring,1
1599,33,services,married,secondary,no,310,yes,no,unknown,4,0,spring,1
1600,60,blue-collar,married,primary,no,136,yes,no,unknown,2,0,spring,1
1601,45,admin.,married,secondary,no,310,yes,no,unknown,2,0,spring,1
1602,39,blue-collar,married,primary,no,813,yes,no,unknown,2,0,spring,1
1603,35,management,married,tertiary,no,14,yes,yes,unknown,1,0,spring,1
1604,41,blue-collar,married,primary,no,-97,yes,no,unknown,5,0,spring,1
1605,40,services,married,primary,no,332,yes,no,unknown,1,0,spring,1
1606,33,services,married,secondary,no,5034,yes,no,unknown,3,0,spring,1
1607,32,admin.,divorced,secondary,no,281,yes,no,unknown,4,0,spring,1
1608,44,management,married,secondary,no,576,yes,no,unknown,3,0,spring,1
1609,34,management,single,tertiary,no,1891,yes,no,unknown,5,0,spring,1
1610,29,services,single,secondary,no,473,yes,yes,unknown,2,0,spring,1
1611,49,blue-collar,married,primary,no,216,yes,no,unknown,2,0,spring,1
1612,31,blue-collar,married,secondary,no,-13,yes,no,unknown,3,0,spring,1
1613,47,admin.,divorced,secondary,no,162,yes,no,unknown,4,0,spring,1
1614,34,blue-collar,married,primary,no,365,yes,no,unknown,2,0,spring,1
1615,32,management,single,tertiary,no,264,yes,no,unknown,2,0,spring,1
1616,32,admin.,single,tertiary,no,490,yes,no,unknown,2,0,spring,1
1617,56,technician,single,primary,no,230,yes,no,unknown,4,0,spring,1
1618,28,technician,single,secondary,no,-9,yes,yes,unknown,5,0,spring,1
1619,35,technician,single,secondary,no,317,yes,no,unknown,2,0,spring,1
1620,52,self-employed,single,tertiary,no,458,yes,yes,unknown,5,0,spring,1
1621,35,technician,married,secondary,no,19,yes,no,unknown,2,0,spring,1
1622,32,blue-collar,married,secondary,no,536,yes,no,unknown,2,0,spring,1
1623,42,management,divorced,secondary,no,117,yes,no,unknown,1,0,spring,1
1624,51,blue-collar,single,primary,no,368,yes,no,unknown,1,0,spring,1
1625,47,blue-collar,married,secondary,no,-98,yes,no,unknown,1,0,spring,1
1626,34,services,married,secondary,no,627,yes,no,unknown,9,0,spring,1
1627,45,admin.,married,secondary,no,180,yes,no,unknown,1,0,spring,1
1628,31,technician,divorced,secondary,no,26,yes,no,unknown,1,0,spring,1
1629,40,blue-collar,married,primary,no,2171,yes,no,unknown,1,0,spring,1
1630,53,entrepreneur,married,secondary,no,-118,yes,no,unknown,3,0,spring,1
1631,44,technician,single,secondary,no,1059,yes,no,unknown,1,0,spring,1
1632,49,blue-collar,married,primary,no,186,yes,no,unknown,1,0,spring,1
1633,47,services,married,secondary,no,1306,yes,no,unknown,4,0,spring,1
1634,31,blue-collar,married,primary,no,3007,yes,no,unknown,1,0,spring,1
1635,45,admin.,single,secondary,no,-88,yes,no,unknown,1,0,spring,1
1636,30,blue-collar,married,primary,no,265,yes,yes,unknown,1,0,spring,1
1637,40,blue-collar,divorced,primary,no,21,yes,no,unknown,1,0,spring,1
1638,27,admin.,single,unknown,no,230,yes,no,unknown,1,0,spring,1
1639,28,admin.,married,secondary,no,252,yes,no,unknown,1,0,spring,1
1640,28,admin.,single,tertiary,no,422,yes,no,unknown,1,0,spring,1
1641,44,blue-collar,married,secondary,no,85,yes,no,unknown,2,0,spring,1
1642,35,management,married,tertiary,no,4286,yes,no,unknown,1,0,spring,1
1643,29,blue-collar,married,secondary,no,0,no,no,unknown,1,0,spring,1
1644,33,blue-collar,divorced,primary,no,60,no,no,unknown,1,0,spring,1
1645,32,blue-collar,married,secondary,no,687,yes,no,unknown,1,0,spring,1
1646,35,blue-collar,single,secondary,no,40,yes,no,unknown,4,1,spring,1
1647,31,technician,single,tertiary,no,22,yes,no,unknown,3,1,spring,1
1648,36,technician,single,secondary,no,-333,yes,yes,unknown,1,0,spring,1
1649,41,technician,married,secondary,no,483,yes,no,unknown,1,0,spring,1
1650,35,blue-collar,married,secondary,no,503,yes,yes,unknown,2,0,spring,1
1651,40,blue-collar,married,secondary,no,1245,yes,no,unknown,1,0,spring,1
1652,42,blue-collar,married,secondary,no,117,yes,no,unknown,1,0,spring,1
1653,34,technician,single,tertiary,yes,33,yes,yes,unknown,1,0,spring,1
1654,41,technician,single,secondary,no,-320,yes,no,unknown,1,0,spring,1
1655,43,blue-collar,divorced,primary,no,49,yes,no,unknown,1,0,spring,1
1656,37,management,married,tertiary,no,0,yes,no,unknown,1,0,spring,1
1657,26,blue-collar,single,secondary,no,100,yes,no,unknown,1,0,spring,1
1658,32,housemaid,married,primary,no,344,yes,no,unknown,2,0,spring,1
1659,51,blue-collar,married,secondary,no,-286,yes,no,unknown,1,0,spring,1
1660,38,blue-collar,single,secondary,no,57,yes,no,unknown,1,0,spring,1
1661,51,unemployed,divorced,secondary,no,370,no,no,unknown,1,0,spring,1
1662,49,services,divorced,secondary,no,470,yes,no,unknown,2,0,spring,1
1663,31,housemaid,married,secondary,no,0,yes,no,unknown,2,0,spring,1
1664,33,blue-collar,married,primary,no,767,yes,no,unknown,3,0,spring,1
1665,30,admin.,single,unknown,yes,1,no,no,unknown,1,0,spring,1
1666,33,technician,married,secondary,no,0,no,no,unknown,1,0,spring,1
1667,41,unemployed,married,secondary,no,121,yes,no,unknown,2,0,spring,1
1668,37,blue-collar,married,secondary,no,190,yes,no,unknown,2,0,spring,1
1669,33,blue-collar,married,primary,no,120,yes,no,unknown,1,0,spring,1
1670,32,services,married,secondary,no,2068,yes,yes,unknown,1,0,spring,1
1671,46,technician,married,secondary,no,332,yes,no,unknown,1,1,spring,1
1672,34,management,single,tertiary,no,-322,no,no,unknown,1,0,spring,1
1673,32,blue-collar,married,primary,no,274,yes,no,unknown,3,0,spring,1
1674,43,blue-collar,single,secondary,no,3,yes,no,unknown,3,1,spring,1
1675,28,blue-collar,married,secondary,no,6,yes,no,unknown,1,0,spring,1
1676,46,technician,divorced,tertiary,no,288,yes,no,unknown,1,0,spring,1
1677,52,services,divorced,primary,no,146,yes,no,unknown,1,0,spring,1
1678,34,blue-collar,married,secondary,no,286,yes,no,unknown,2,0,spring,1
1679,27,technician,divorced,secondary,no,114,yes,yes,unknown,2,0,spring,1
1680,32,technician,single,tertiary,no,190,yes,yes,unknown,1,0,spring,1
1681,37,blue-collar,single,secondary,no,111,yes,no,unknown,2,0,spring,1
1682,29,management,married,tertiary,no,246,yes,no,unknown,1,0,spring,1
1683,40,housemaid,divorced,secondary,no,108,no,no,unknown,1,0,spring,1
1684,47,technician,married,primary,no,187,yes,no,unknown,1,0,spring,1
1685,34,blue-collar,married,secondary,no,457,yes,no,unknown,1,0,spring,1
1686,25,admin.,single,secondary,no,131,yes,yes,unknown,1,0,spring,1
1687,30,management,married,tertiary,no,1825,yes,no,unknown,1,0,spring,1
1688,31,admin.,married,secondary,no,307,yes,no,unknown,1,1,spring,1
1689,35,blue-collar,married,secondary,yes,-198,yes,no,unknown,2,0,spring,1
1690,32,blue-collar,divorced,secondary,no,739,yes,no,unknown,1,0,spring,1
1691,28,blue-collar,single,secondary,no,759,yes,no,unknown,1,1,spring,1
1692,27,services,single,secondary,no,777,yes,no,unknown,3,0,spring,1
1693,37,blue-collar,married,primary,no,378,yes,no,unknown,1,0,spring,1
1694,35,blue-collar,single,primary,no,337,yes,no,unknown,1,0,spring,1
1695,34,blue-collar,married,primary,no,-78,yes,no,unknown,1,0,spring,1
1696,31,admin.,married,secondary,no,355,yes,no,unknown,1,0,spring,1
1697,36,management,divorced,tertiary,no,133,yes,no,unknown,1,0,spring,1
1698,38,technician,married,secondary,no,32,yes,no,unknown,1,0,spring,1
1699,25,services,married,secondary,no,55,yes,yes,unknown,1,0,spring,1
1700,51,management,single,tertiary,no,417,yes,no,unknown,1,0,spring,1
1701,26,blue-collar,single,secondary,no,153,yes,no,unknown,1,0,spring,1
1702,40,retired,married,tertiary,no,794,no,no,unknown,1,0,spring,1
1703,26,services,single,secondary,no,187,yes,no,unknown,1,0,spring,1
1704,36,services,married,secondary,no,335,yes,no,unknown,2,0,spring,1
1705,59,blue-collar,married,secondary,no,1407,yes,no,unknown,1,0,spring,1
1706,26,blue-collar,single,secondary,no,-116,yes,yes,unknown,1,0,spring,1
1707,49,self-employed,married,tertiary,no,1842,yes,no,unknown,2,0,spring,1
1708,33,blue-collar,married,primary,no,329,yes,no,unknown,1,0,spring,1
1709,31,blue-collar,married,secondary,no,428,yes,no,unknown,1,0,spring,1
1710,59,management,single,secondary,no,181,yes,no,unknown,1,0,spring,1
1711,38,entrepreneur,married,secondary,no,2139,yes,no,unknown,1,0,spring,1
1712,37,services,single,secondary,no,253,yes,yes,unknown,1,0,spring,1
1713,31,unemployed,single,tertiary,no,133,yes,no,unknown,2,0,spring,1
1714,54,retired,married,secondary,no,785,yes,no,unknown,2,0,spring,1
1715,41,blue-collar,married,primary,no,-45,yes,yes,unknown,4,0,spring,1
1716,44,management,married,tertiary,no,223,yes,no,unknown,2,0,spring,1
1717,28,admin.,single,secondary,no,2831,yes,no,unknown,3,0,spring,1
1718,22,student,single,secondary,no,2412,yes,no,unknown,2,0,spring,1
1719,31,blue-collar,married,primary,no,11,yes,no,unknown,3,0,spring,1
1720,36,services,married,secondary,no,211,yes,no,unknown,2,0,spring,1
1721,37,admin.,divorced,secondary,no,34,yes,no,unknown,3,0,spring,1
1722,54,admin.,married,secondary,no,222,yes,no,unknown,2,0,spring,1
1723,28,management,single,tertiary,no,3285,yes,no,unknown,1,0,spring,1
1724,42,blue-collar,married,primary,no,-67,yes,no,unknown,1,0,spring,1
1725,35,technician,single,tertiary,no,670,yes,no,unknown,1,0,spring,1
1726,29,admin.,married,secondary,no,0,yes,no,unknown,1,0,spring,1
1727,59,blue-collar,single,primary,no,96,yes,no,unknown,1,0,spring,1
1728,46,blue-collar,married,secondary,no,-3,yes,no,unknown,2,0,spring,1
1729,32,self-employed,single,secondary,no,123,yes,no,unknown,1,0,spring,1
1730,43,management,divorced,tertiary,no,443,yes,no,unknown,1,0,spring,1
1731,41,blue-collar,married,primary,no,406,yes,no,unknown,1,0,spring,1
1732,31,admin.,married,secondary,no,535,no,no,unknown,3,0,spring,1
1733,26,services,single,secondary,no,302,yes,no,unknown,1,0,spring,1
1734,29,blue-collar,married,primary,yes,-43,yes,no,unknown,1,0,spring,1
1735,31,services,married,secondary,no,-346,no,no,unknown,1,0,spring,1
1736,37,blue-collar,divorced,secondary,no,-271,yes,no,unknown,1,0,spring,1
1737,35,technician,married,secondary,no,55,yes,no,unknown,4,0,spring,1
1738,31,technician,single,tertiary,no,375,yes,no,unknown,1,0,spring,1
1739,30,blue-collar,married,secondary,no,-2,yes,no,unknown,2,0,spring,1
1740,29,blue-collar,single,primary,no,-680,yes,no,unknown,2,0,spring,1
1741,29,admin.,divorced,secondary,no,0,no,no,unknown,1,0,spring,1
1742,39,blue-collar,single,secondary,no,217,yes,no,unknown,1,0,spring,1
1743,31,blue-collar,single,secondary,no,160,yes,no,unknown,1,0,spring,1
1744,27,management,single,tertiary,no,118,yes,no,unknown,3,0,spring,1
1745,22,admin.,single,secondary,no,-1,yes,no,unknown,1,0,spring,1
1746,31,management,single,secondary,no,453,yes,no,unknown,2,0,spring,1
1747,39,blue-collar,single,secondary,no,169,yes,no,unknown,1,0,spring,1
1748,25,admin.,single,secondary,no,787,yes,no,unknown,1,0,spring,1
1749,27,self-employed,single,secondary,no,78,yes,no,unknown,1,0,spring,1
1750,28,technician,single,tertiary,no,2269,yes,no,unknown,1,0,spring,1
1751,31,unemployed,married,primary,no,213,yes,no,unknown,2,0,spring,1
1752,46,technician,divorced,secondary,no,164,yes,no,unknown,2,0,spring,1
1753,37,blue-collar,married,secondary,no,934,no,no,unknown,2,0,spring,1
1754,27,services,single,secondary,no,4,yes,yes,unknown,1,0,spring,1
1755,34,unemployed,divorced,secondary,no,354,yes,no,unknown,1,0,spring,1
1756,30,technician,single,secondary,no,23,yes,no,unknown,1,0,spring,1
1757,23,student,single,secondary,no,318,yes,no,unknown,2,0,spring,1
1758,33,technician,divorced,secondary,yes,-305,no,yes,unknown,1,0,spring,1
1759,43,admin.,married,secondary,no,616,yes,no,unknown,2,0,spring,1
1760,50,blue-collar,married,primary,no,2590,yes,no,unknown,6,0,spring,1
1761,31,technician,married,secondary,no,1868,yes,no,unknown,2,0,spring,1
1762,32,blue-collar,single,secondary,no,-578,no,no,unknown,1,0,spring,1
1763,32,admin.,single,secondary,no,-227,yes,yes,unknown,1,0,spring,1
1764,37,technician,divorced,secondary,no,1981,yes,no,unknown,1,0,spring,1
1765,60,management,divorced,unknown,no,404,yes,no,unknown,2,0,spring,1
1766,47,blue-collar,divorced,secondary,no,65,yes,no,unknown,1,0,spring,1
1767,32,blue-collar,married,secondary,yes,-1,yes,no,unknown,1,1,spring,1
1768,34,services,married,secondary,no,-68,yes,no,unknown,1,0,spring,1
1769,36,blue-collar,divorced,unknown,no,0,yes,no,unknown,1,0,spring,1
1770,28,services,single,secondary,no,229,yes,no,unknown,1,0,spring,1
1771,31,services,divorced,secondary,no,1656,yes,no,unknown,3,0,spring,1
1772,43,housemaid,married,primary,no,1342,yes,yes,unknown,2,0,spring,1
1773,32,unemployed,single,secondary,no,331,yes,no,unknown,2,0,spring,1
1774,31,services,married,secondary,no,238,yes,yes,unknown,2,0,spring,1
1775,56,admin.,married,primary,no,202,yes,no,unknown,2,0,spring,1
1776,34,management,single,tertiary,no,318,yes,no,unknown,2,0,spring,1
1777,46,technician,single,secondary,yes,-1124,yes,yes,unknown,2,0,spring,1
1778,27,admin.,single,secondary,no,662,yes,no,unknown,1,0,spring,1
1779,33,blue-collar,married,secondary,no,1790,yes,yes,unknown,1,0,spring,1
1780,35,blue-collar,married,primary,no,198,yes,no,unknown,2,0,spring,1
1781,29,management,single,tertiary,no,726,yes,no,unknown,3,0,spring,1
1782,39,management,married,tertiary,no,183,yes,no,unknown,2,0,spring,1
1783,48,blue-collar,married,secondary,no,149,yes,no,unknown,1,0,spring,1
1784,58,blue-collar,married,primary,no,-91,yes,no,unknown,5,0,spring,1
1785,36,blue-collar,married,secondary,no,-9,yes,no,unknown,3,0,spring,1
1786,33,blue-collar,married,primary,no,134,yes,no,unknown,2,0,spring,1
1787,32,management,married,tertiary,no,0,no,no,unknown,1,0,spring,1
1788,32,entrepreneur,single,tertiary,no,6259,yes,no,unknown,2,0,spring,1
1789,31,admin.,married,secondary,no,27,no,yes,unknown,1,0,spring,1
1790,30,blue-collar,single,primary,no,383,yes,no,unknown,1,0,spring,1
1791,30,management,single,tertiary,no,1108,yes,yes,unknown,1,0,spring,1
1792,40,blue-collar,married,primary,no,117,yes,no,unknown,2,0,spring,1
1793,35,blue-collar,married,primary,no,108,yes,no,unknown,4,0,spring,1
1794,42,blue-collar,married,primary,no,479,yes,no,unknown,2,0,spring,1
1795,60,technician,married,primary,no,65,yes,no,unknown,2,1,spring,1
1796,28,services,single,secondary,no,234,no,no,unknown,3,0,spring,1
1797,29,admin.,single,secondary,no,-53,yes,no,unknown,2,0,spring,1
1798,33,unemployed,married,secondary,no,-131,yes,yes,unknown,2,0,spring,1
1799,23,services,single,secondary,no,-39,yes,yes,unknown,2,0,spring,1
1800,34,blue-collar,married,primary,no,139,yes,no,unknown,1,0,spring,1
1801,29,services,single,secondary,no,262,yes,no,unknown,1,0,spring,1
1802,32,blue-collar,single,secondary,no,160,yes,no,unknown,1,0,spring,1
1803,55,services,married,secondary,no,186,yes,yes,unknown,1,0,spring,1
1804,39,retired,single,primary,no,-79,no,no,unknown,1,0,spring,1
1805,37,admin.,single,secondary,no,1113,yes,no,unknown,1,0,spring,1
1806,26,blue-collar,single,secondary,no,82,yes,no,unknown,1,1,spring,1
1807,35,management,divorced,tertiary,no,321,yes,no,unknown,1,0,spring,1
1808,26,management,single,tertiary,no,1326,yes,no,unknown,1,0,spring,1
1809,34,technician,single,tertiary,no,2257,yes,no,unknown,1,0,spring,1
1810,55,blue-collar,married,primary,no,1373,no,no,unknown,2,0,spring,1
1811,39,services,married,secondary,no,304,yes,yes,unknown,1,0,spring,1
1812,27,student,married,tertiary,no,659,yes,no,unknown,2,0,spring,1
1813,30,entrepreneur,single,secondary,no,491,yes,no,unknown,4,0,spring,1
1814,28,management,single,unknown,yes,101,yes,no,unknown,3,0,spring,1
1815,33,blue-collar,single,secondary,no,33,yes,no,unknown,1,0,spring,1
1816,43,management,married,tertiary,no,291,yes,no,unknown,2,0,spring,1
1817,50,services,married,tertiary,no,218,yes,no,unknown,2,0,spring,1
1818,26,blue-collar,single,primary,no,102,yes,no,unknown,1,0,spring,1
1819,33,blue-collar,married,secondary,no,88,yes,no,unknown,2,0,spring,1
1820,47,blue-collar,married,primary,no,94,yes,no,unknown,3,0,spring,1
1821,33,management,single,secondary,no,-665,yes,yes,unknown,1,0,spring,1
1822,34,blue-collar,married,secondary,yes,-331,yes,yes,unknown,1,0,spring,1
1823,33,blue-collar,single,secondary,no,550,yes,no,unknown,1,0,spring,1
1824,23,student,single,secondary,no,151,yes,no,unknown,1,0,spring,1
1825,29,self-employed,single,tertiary,no,5406,no,no,unknown,2,0,spring,1
1826,33,blue-collar,married,secondary,no,269,yes,no,unknown,1,0,spring,1
1827,41,management,married,unknown,no,2457,yes,no,unknown,1,0,spring,1
1828,27,blue-collar,single,secondary,no,45,yes,no,unknown,1,0,spring,1
1829,34,blue-collar,single,secondary,no,610,yes,no,unknown,3,0,spring,1
1830,53,management,married,secondary,no,-133,yes,no,unknown,2,0,spring,1
1831,34,management,single,secondary,no,66,yes,no,unknown,2,0,spring,1
1832,40,blue-collar,married,secondary,no,10,yes,no,unknown,2,1,spring,1
1833,27,blue-collar,married,tertiary,no,350,no,no,unknown,1,0,spring,1
1834,33,services,married,tertiary,no,546,yes,yes,unknown,1,0,spring,1
1835,40,technician,single,secondary,no,360,yes,no,unknown,1,0,spring,1
1836,21,student,single,secondary,no,6,no,no,unknown,1,0,spring,1
1837,31,blue-collar,married,secondary,no,0,yes,no,unknown,1,0,spring,1
1838,51,blue-collar,married,secondary,no,22,yes,yes,unknown,1,0,spring,1
1839,26,technician,single,secondary,no,57,yes,no,unknown,2,0,spring,1
1840,26,management,married,primary,no,1349,yes,no,unknown,1,0,spring,1
1841,32,admin.,single,secondary,no,708,no,no,unknown,1,0,spring,1
1842,31,blue-collar,married,secondary,no,1329,yes,yes,unknown,1,0,spring,1
1843,27,unemployed,married,primary,no,7459,yes,no,unknown,2,0,spring,1
1844,58,retired,divorced,primary,no,47,yes,no,unknown,1,0,spring,1
1845,39,services,married,unknown,no,-516,yes,no,unknown,2,0,spring,1
1846,30,services,married,secondary,no,0,yes,no,unknown,1,0,spring,1
1847,29,technician,single,tertiary,no,433,yes,no,unknown,1,0,spring,1
1848,38,technician,married,secondary,yes,9,yes,no,unknown,3,0,spring,1
1849,29,management,married,tertiary,no,-6,yes,no,unknown,1,0,spring,1
1850,28,blue-collar,single,secondary,no,-197,yes,no,unknown,2,1,spring,1
1851,41,blue-collar,single,secondary,no,184,yes,no,unknown,2,0,spring,1
1852,43,blue-collar,married,primary,no,336,yes,no,unknown,5,0,spring,1
1853,43,blue-collar,single,primary,no,36,yes,no,unknown,2,0,spring,1
1854,37,technician,married,secondary,no,277,yes,no,unknown,2,0,spring,1
1855,46,blue-collar,divorced,primary,no,452,yes,no,unknown,4,0,spring,1
1856,53,blue-collar,married,secondary,no,-135,yes,no,unknown,2,0,spring,1
1857,28,blue-collar,single,secondary,no,7,yes,yes,unknown,3,0,spring,1
1858,41,admin.,married,secondary,no,442,yes,yes,unknown,2,0,spring,1
1859,36,blue-collar,married,secondary,no,590,yes,no,unknown,2,0,spring,1
1860,37,technician,married,tertiary,no,447,yes,no,unknown,1,0,spring,1
1861,38,blue-collar,married,secondary,no,49,yes,no,unknown,2,0,spring,1
1862,32,technician,married,secondary,no,1118,yes,yes,unknown,2,0,spring,1
1863,33,blue-collar,divorced,primary,no,390,yes,no,unknown,2,1,spring,1
1864,28,technician,single,secondary,no,-125,yes,no,unknown,3,0,spring,1
1865,52,blue-collar,divorced,primary,no,-97,yes,yes,unknown,4,0,spring,1
1866,30,blue-collar,single,secondary,no,18,no,no,unknown,1,0,spring,1
1867,37,blue-collar,married,secondary,no,131,yes,no,unknown,2,0,spring,1
1868,27,technician,single,secondary,no,527,yes,no,unknown,1,0,spring,1
1869,31,services,married,secondary,no,1129,yes,no,unknown,2,0,spring,1
1870,47,management,divorced,tertiary,no,266,yes,no,unknown,1,0,spring,1
1871,33,blue-collar,single,secondary,no,687,yes,no,unknown,1,0,spring,1
1872,46,blue-collar,married,primary,no,1726,yes,yes,unknown,1,0,spring,1
1873,38,blue-collar,married,secondary,no,-388,yes,no,unknown,1,0,spring,1
1874,33,blue-collar,single,primary,no,92,yes,no,unknown,1,0,spring,1
1875,44,blue-collar,married,primary,no,-11,yes,no,unknown,1,0,spring,1
1876,35,management,married,tertiary,no,1510,yes,no,unknown,1,0,spring,1
1877,38,blue-collar,married,secondary,no,171,yes,no,unknown,5,0,spring,1
1878,56,blue-collar,married,primary,no,420,yes,no,unknown,1,0,spring,1
1879,33,technician,single,secondary,no,513,yes,no,unknown,4,0,spring,1
1880,45,services,married,primary,no,137,yes,no,unknown,2,0,spring,1
1881,30,services,married,primary,no,21,yes,no,unknown,3,0,spring,1
1882,34,admin.,married,secondary,no,-312,yes,no,unknown,1,0,spring,1
1883,32,blue-collar,married,secondary,no,-208,yes,yes,unknown,1,0,spring,1
1884,32,blue-collar,single,secondary,no,2,no,no,unknown,2,0,spring,1
1885,27,admin.,married,secondary,no,1033,yes,no,unknown,1,0,spring,1
1886,48,unemployed,married,secondary,no,855,yes,no,unknown,2,0,spring,1
1887,54,blue-collar,married,primary,no,781,yes,no,unknown,2,0,spring,1
1888,29,technician,single,tertiary,no,542,yes,no,unknown,3,0,spring,1
1889,37,blue-collar,divorced,secondary,no,-175,yes,no,unknown,1,0,spring,1
1890,26,entrepreneur,married,tertiary,no,79,yes,yes,unknown,3,0,spring,1
1891,43,management,married,secondary,no,3,yes,no,unknown,2,0,spring,1
1892,31,blue-collar,married,secondary,no,4471,yes,no,unknown,2,0,spring,1
1893,55,technician,married,secondary,no,2313,yes,no,unknown,2,0,spring,1
1894,45,services,single,secondary,no,-139,yes,no,unknown,3,0,spring,1
1895,35,technician,single,secondary,no,300,yes,no,unknown,4,0,spring,1
1896,57,self-employed,married,tertiary,yes,-3313,yes,yes,unknown,1,0,spring,1
1897,49,blue-collar,married,primary,no,352,yes,no,unknown,2,0,spring,1
1898,23,services,single,secondary,no,105,yes,yes,unknown,2,0,spring,1
1899,49,housemaid,divorced,primary,no,164,yes,no,unknown,5,0,spring,1
1900,35,management,single,tertiary,no,-202,yes,no,unknown,2,0,spring,1
1901,38,technician,single,tertiary,no,-256,yes,no,unknown,1,0,spring,1
1902,39,entrepreneur,married,secondary,no,1261,yes,no,unknown,2,0,spring,1
1903,27,self-employed,single,tertiary,no,-503,yes,no,unknown,3,0,spring,1
1904,37,blue-collar,married,secondary,no,790,no,no,unknown,1,0,spring,1
1905,57,management,married,secondary,no,0,yes,no,unknown,7,0,spring,1
1906,38,entrepreneur,single,tertiary,no,638,yes,no,unknown,1,0,spring,1
1907,26,technician,married,secondary,no,47,yes,no,unknown,2,0,spring,1
1908,46,entrepreneur,married,unknown,no,242,yes,no,unknown,2,0,spring,1
1909,44,admin.,married,secondary,no,469,yes,no,unknown,4,0,spring,1
1910,44,blue-collar,married,primary,no,271,yes,yes,unknown,1,0,spring,1
1911,28,blue-collar,married,secondary,no,948,yes,no,unknown,1,0,spring,1
1912,37,admin.,married,secondary,no,-356,no,yes,unknown,1,0,spring,1
1913,43,technician,single,secondary,no,336,yes,no,unknown,1,0,spring,1
1914,25,admin.,single,secondary,no,61,yes,no,unknown,9,0,spring,1
1915,34,blue-collar,single,primary,no,359,yes,no,unknown,3,0,spring,1
1916,39,blue-collar,married,primary,no,105,yes,no,unknown,2,0,spring,1
1917,35,management,single,secondary,no,6809,yes,no,unknown,7,0,spring,1
1918,32,services,married,secondary,no,59,yes,yes,unknown,2,0,spring,1
1919,31,services,married,secondary,no,0,no,yes,unknown,6,0,spring,1
1920,42,blue-collar,married,primary,no,0,yes,no,unknown,2,0,spring,1
1921,31,blue-collar,single,secondary,no,216,yes,no,unknown,1,0,spring,1
1922,30,technician,single,tertiary,no,2530,yes,no,unknown,1,0,spring,1
1923,29,admin.,single,secondary,no,356,yes,no,unknown,1,0,spring,1
1924,29,admin.,single,secondary,yes,-228,yes,no,unknown,1,0,spring,1
1925,36,blue-collar,married,secondary,no,198,yes,no,unknown,2,0,spring,1
1926,41,services,married,secondary,no,510,yes,no,unknown,2,0,spring,1
1927,37,blue-collar,single,secondary,no,223,yes,no,unknown,2,0,spring,1
1928,32,management,single,tertiary,no,4,yes,no,unknown,2,0,spring,1
1929,39,entrepreneur,married,tertiary,no,338,yes,no,unknown,4,0,spring,1
1930,31,management,single,tertiary,no,0,yes,no,unknown,3,0,spring,1
1931,33,blue-collar,single,secondary,no,328,yes,no,unknown,2,0,spring,1
1932,30,technician,single,tertiary,no,255,yes,no,unknown,2,0,spring,1
1933,24,student,single,secondary,no,304,no,no,unknown,3,0,spring,1
1934,55,blue-collar,married,secondary,no,-256,yes,yes,unknown,2,0,spring,1
1935,27,services,single,secondary,no,683,yes,no,unknown,3,0,spring,1
1936,47,management,divorced,tertiary,no,84,yes,no,unknown,5,0,spring,1
1937,29,blue-collar,married,primary,no,608,yes,no,unknown,2,0,spring,1
1938,56,management,married,secondary,no,230,no,no,unknown,4,0,spring,1
1939,31,management,single,tertiary,no,12,yes,no,unknown,4,0,spring,1
1940,46,blue-collar,married,primary,no,881,yes,no,unknown,2,0,spring,1
1941,47,technician,single,unknown,no,77,yes,no,unknown,4,0,spring,1
1942,29,student,single,secondary,no,510,yes,no,unknown,6,0,spring,1
1943,35,admin.,divorced,tertiary,no,1555,yes,no,unknown,2,0,spring,1
1944,31,services,single,secondary,yes,68,yes,no,unknown,2,0,spring,1
1945,29,admin.,single,secondary,no,43,yes,no,unknown,2,0,spring,1
